0,#3347,IF,property,is not,unknown / no property,AND,telephone,is,No,AND,status,is not,... >= 200 DM (salary),AND,duration,>=,15,THEN,reject,163,0.691099

1,#4946,IF,housing,is,own,AND,property,is,car or other,AND,job,is not,unskilled - resident,AND,status,is not,no checking account and ... < 0 DM,THEN,accept,133,0.849057

2,#3092,IF,status,is not,... >= 200 DM (salary),AND,amount,<=,599,...,...,...,...,...,...,...,...,THEN,accept,17,0.750000

3,#2761,IF,duration,<=,6,AND,housing,is,own,AND,amount,>=,501,...,...,...,...,THEN,accept,53,0.918919

4,#9107,IF,duration,in,7 to 9,AND,other_installment_plans,is,none,AND,status,is not,no checking account and ... < 0 DM,AND,purpose,is not,car (new),THEN,accept,21,0.700000

5,#3792,IF,status,is,0 to 200 DM,AND,savings,is,unknown/no savings account or < 100 DM,AND,purpose,is not,others,AND,property,is not,real estate,THEN,accept,24,0.514286

6,#7331,IF,status,is,... >= 200 DM (salary),AND,duration,<=,16,AND,installment_rate,is not,< 20 and 20 to 25,AND,employment_duration,is,4 to 7 yrs or >= 7 yrs,THEN,accept,51,0.900000

7,#7528,IF,housing,is,own,AND,property,is,real estate,AND,other_debtors,is,none,...,...,...,...,THEN,accept,189,0.758865

8,#5555,IF,savings,is,unknown/no savings account,AND,status,is,... >= 200 DM (salary),AND,credit_history,is not,existing credits paid back duly till now,AND,employment_duration,is not,unemployed and < 1 yr,AND,
,,,people_liable,is,0 to 2,...,...,...,...,...,...,...,...,...,...,...,...,THEN,accept,113,0.927711

9,#9185,IF,other_installment_plans,is not,bank,AND,status,is,... >= 200 DM (salary),AND,amount,in,3607 to 7834,AND,employment_duration,is,4 to 7 yrs or >= 7 yrs,THEN,accept,35,0.960000

10,#9106,IF,duration,<=,7,AND,other_installment_plans,is,none,AND,status,is not,no checking account and ... < 0 DM,AND,purpose,is not,car (new),THEN,accept,41,1.000000

11,#3870,IF,duration,<=,6,AND,other_installment_plans,is,none,AND,telephone,is,No,...,...,...,...,THEN,accept,48,0.969697

12,#2879,IF,telephone,is,No,AND,purpose,is,furniture/equipment,...,...,...,...,...,...,...,...,THEN,accept,185,0.695652

13,#2660,IF,status,is,... >= 200 DM (salary),AND,amount,<=,1381,AND,housing,is not,rent,AND,people_liable,is,0 to 2,THEN,accept,66,1.000000

14,#4868,IF,telephone,is,Yes,AND,other_installment_plans,is,none,AND,status,is not,no checking account,AND,credit_history,is,no credits taken/all credits paid back duly,THEN,accept,126,0.761905

15,#8024,IF,amount,>=,3885,AND,job,is,skilled employee / official,AND,installment_rate,is not,< 20 and 20 to 25,AND,age,<=,40,AND,
,,,property,is not,unknown / no property,AND,status,is not,no checking account,...,...,...,...,...,...,...,...,THEN,accept,29,0.583333

16,#866,IF,status,is,... >= 200 DM (salary),AND,credit_history,is not,existing credits paid back duly till now,AND,employment_duration,is not,unemployed,AND,other_installment_plans,is not,bank,AND,
,,,age,in,31 to 42,AND,personal_status_sex,is,married male,...,...,...,...,...,...,...,...,THEN,accept,79,0.965517

17,#9139,IF,duration,>=,15,AND,other_installment_plans,is not,bank,AND,present_residence,is not,< 1 yr and 1 to 4 yrs,AND,age,in,34 to 51,AND,
,,,status,is,... >= 200 DM (salary),...,...,...,...,...,...,...,...,...,...,...,...,THEN,accept,49,0.909091

18,#496,IF,duration,<=,15,AND,credit_history,is,no credits taken/all credits paid back duly,AND,amount,in,1538 to 3290,AND,age,>=,25,THEN,accept,62,0.962963

19,#1665,IF,housing,is,own,AND,duration,<=,8,AND,status,is not,no checking account and ... < 0 DM,...,...,...,...,THEN,accept,35,1.000000

20,#1325,IF,housing,is,own,AND,purpose,is not,car (used),AND,job,is not,unskilled - resident,AND,other_installment_plans,is,none,AND,
,,,age,<=,30,AND,savings,is not,500 to 1000 DM and >= 1000 DM,AND,status,is not,no checking account,...,...,...,...,THEN,accept,100,0.666667

21,#5900,IF,status,is,... >= 200 DM (salary),AND,housing,is not,rent,AND,other_installment_plans,is,none,AND,duration,<=,34,AND,
,,,people_liable,is,0 to 2,AND,property,is not,building soc. savings agr./life insurance,AND,employment_duration,is,4 to 7 yrs or >= 7 yrs,...,...,...,...,THEN,accept,78,0.946429

22,#7971,IF,status,is,... >= 200 DM (salary),AND,other_installment_plans,is,none,AND,credit_history,is not,existing credits paid back duly till now,AND,employment_duration,is,4 to 7 yrs or >= 7 yrs,AND,
,,,present_residence,is,>= 7 yrs,...,...,...,...,...,...,...,...,...,...,...,...,THEN,accept,74,0.981132

23,#7673,IF,status,is,... >= 200 DM (salary),AND,job,is not,management/ self-employed/ highly qualified employee/ officer,AND,other_installment_plans,is not,bank,AND,employment_duration,is,4 to 7 yrs,THEN,accept,61,0.941176

24,#8627,IF,purpose,is not,others and repairs,AND,housing,is not,for free,AND,property,is not,car or other,AND,duration,<=,37,AND,
,,,employment_duration,is,1 to 4 yrs or 4 to 7 yrs,AND,age,>=,25,AND,status,is not,no checking account and ... < 0 DM,...,...,...,...,THEN,accept,78,0.906250

25,#5465,IF,status,is,... >= 200 DM (salary),AND,other_installment_plans,is,none,AND,credit_history,is not,existing credits paid back duly till now,AND,property,is not,building soc. savings agr./life insurance,AND,
,,,age,>=,23,AND,employment_duration,is not,unemployed and < 1 yr,...,...,...,...,...,...,...,...,THEN,accept,186,0.964029

26,#3699,IF,purpose,is not,furniture/equipment,AND,amount,<=,4070,AND,status,is,... >= 200 DM (salary),AND,credit_history,is not,existing credits paid back duly till now,AND,
,,,other_installment_plans,is,none,AND,job,is not,unskilled - resident,...,...,...,...,...,...,...,...,THEN,accept,122,0.957895

27,#1785,IF,status,is,... >= 200 DM (salary),AND,number_credits,is,1,AND,employment_duration,is not,unemployed and < 1 yr,AND,amount,<=,3888,AND,
,,,job,is not,unskilled - resident,AND,present_residence,is not,< 1 yr and 1 to 4 yrs,...,...,...,...,...,...,...,...,THEN,accept,59,0.956522

28,#9376,IF,duration,>=,15,AND,credit_history,is not,no credits taken/all credits paid back duly,AND,employment_duration,is,4 to 7 yrs,AND,status,is not,no checking account and ... < 0 DM,THEN,accept,27,0.809524

29,#4386,IF,telephone,is,Yes,AND,other_debtors,is not,co-applicant,AND,credit_history,is not,critical account/other credits elsewhere,AND,duration,>=,34,AND,
,,,other_installment_plans,is not,stores,AND,status,is not,no checking account,...,...,...,...,...,...,...,...,THEN,accept,55,0.666667

30,#3832,IF,purpose,is not,others and repairs,AND,housing,is not,rent,AND,credit_history,is,no credits taken/all credits paid back duly,AND,savings,is,unknown/no savings account or < 100 DM,AND,
,,,other_debtors,is not,guarantor,AND,amount,in,803 to 10289,AND,employment_duration,is not,unemployed,AND,people_liable,is,0 to 2,THEN,accept,142,0.678899

31,#9131,IF,duration,>=,15,AND,other_installment_plans,is not,bank,AND,present_residence,is not,< 1 yr and 1 to 4 yrs,AND,age,<=,34,AND,
,,,telephone,is,Yes,...,...,...,...,...,...,...,...,...,...,...,...,THEN,accept,55,0.666667

32,#3608,IF,credit_history,is,no credits taken/all credits paid back duly,AND,status,is not,... >= 200 DM (salary),AND,duration,>=,15,AND,amount,>=,2745,AND,
,,,other_debtors,is not,co-applicant,...,...,...,...,...,...,...,...,...,...,...,...,THEN,accept,108,0.521277

33,#8064,IF,housing,is,own,AND,other_installment_plans,is,none,AND,credit_history,is not,all credits at this bank paid back duly,AND,employment_duration,is not,unemployed and < 1 yr,AND,
,,,present_residence,is,>= 7 yrs,AND,status,is not,no checking account,...,...,...,...,...,...,...,...,THEN,accept,69,0.867925

34,#9431,IF,other_installment_plans,is,none,AND,credit_history,is,all credits at this bank paid back duly,AND,housing,is,own,AND,status,is not,no checking account and ... < 0 DM,THEN,accept,123,0.988636

35,#6039,IF,housing,is not,rent,AND,personal_status_sex,is,married male,AND,people_liable,is,0 to 2,AND,number_credits,is not,4 to 5,AND,
,,,status,is,0 to 200 DM,...,...,...,...,...,...,...,...,...,...,...,...,THEN,accept,22,0.619048

36,#4049,IF,telephone,is,Yes,AND,status,is not,no checking account and ... < 0 DM,AND,purpose,is not,retraining,AND,amount,in,4217 to 6386,THEN,accept,22,0.764706

37,#4249,IF,status,is,... >= 200 DM (salary),AND,employment_duration,is,4 to 7 yrs or >= 7 yrs,AND,duration,>=,26,...,...,...,...,THEN,accept,42,1.000000

38,#1022,IF,status,is not,no checking account and ... < 0 DM,AND,employment_duration,is,4 to 7 yrs or >= 7 yrs,AND,other_installment_plans,is not,bank,AND,housing,is,own,AND,
,,,telephone,is,Yes,...,...,...,...,...,...,...,...,...,...,...,...,THEN,accept,72,0.980769

39,#5214,IF,status,is not,... >= 200 DM (salary),AND,personal_status_sex,is,married male,AND,credit_history,is not,delay in paying off in the past,AND,amount,in,6045 to 7079,THEN,accept,20,0.736842

40,#130,IF,status,is,... >= 200 DM (salary),AND,age,<=,23,...,...,...,...,...,...,...,...,THEN,accept,27,0.636364

41,#6153,IF,purpose,is,furniture/equipment,AND,employment_duration,is,4 to 7 yrs or >= 7 yrs,AND,job,is,skilled employee / official,...,...,...,...,THEN,accept,91,0.873239

42,#8457,IF,housing,is,own,AND,other_installment_plans,is not,bank,AND,status,is,... >= 200 DM (salary),AND,amount,<=,4307,AND,
,,,age,>=,26,AND,credit_history,is not,all credits at this bank paid back duly,...,...,...,...,...,...,...,...,THEN,accept,100,0.935065

43,#3430,IF,credit_history,is,all credits at this bank paid back duly,AND,other_debtors,is not,guarantor,AND,other_installment_plans,is,none,AND,employment_duration,is,4 to 7 yrs or >= 7 yrs,AND,
,,,age,in,36 to 57,...,...,...,...,...,...,...,...,...,...,...,...,THEN,accept,63,0.956522

44,#7624,IF,property,is not,unknown / no property,AND,age,>=,33,AND,other_installment_plans,is,none,AND,credit_history,is,all credits at this bank paid back duly,AND,
,,,amount,>=,944,AND,status,is not,no checking account,...,...,...,...,...,...,...,...,THEN,accept,93,0.970149

45,#720,IF,employment_duration,is,4 to 7 yrs or >= 7 yrs,AND,housing,is,own,AND,purpose,is not,others,AND,amount,>=,1934,AND,
,,,credit_history,is not,all credits at this bank paid back duly,AND,status,is not,no checking account and ... < 0 DM,...,...,...,...,...,...,...,...,THEN,accept,45,0.918919

46,#8946,IF,telephone,is,Yes,AND,age,<=,26,...,...,...,...,...,...,...,...,THEN,accept,61,0.528302

47,#2661,IF,status,is,... >= 200 DM (salary),AND,amount,in,1381 to 3888,AND,housing,is not,rent,AND,people_liable,is,0 to 2,AND,
,,,present_residence,is not,4 to 7 yrs and >= 7 yrs,...,...,...,...,...,...,...,...,...,...,...,...,THEN,accept,73,0.836364

48,#3011,IF,credit_history,is not,all credits at this bank paid back duly,AND,installment_rate,is not,25 to 35 and >= 35,AND,amount,>=,9504,...,...,...,...,THEN,reject,23,0.700000

49,#6795,IF,status,is,... >= 200 DM (salary),AND,duration,<=,16,AND,job,is,skilled employee / official,AND,age,>=,25,THEN,accept,97,0.974359

