_id,Creditability,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex & Marital Status,Guarantors,Duration in Current address,Most valuable available asset,Age (years),Other installment plans,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker
0,Yes,... < 0 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,1049,< 100 DM,< 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,21,none,rent,1,skilled employee / official,1,No,Yes
1,Yes,... < 0 DM,9,critical account/ other credits existing (not at this bank),car (new),2799,< 100 DM,1 <= ... < 4 years,2,male : single,none,2,real estate,36,none,rent,2,skilled employee / official,2,No,Yes
2,Yes,0 <= ... < 200 DM,12,existing credits paid back duly till now,business,841,100 <= ... < 500 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,4,real estate,23,none,rent,1,unskilled - resident,1,No,Yes
3,Yes,... < 0 DM,12,critical account/ other credits existing (not at this bank),car (new),2122,< 100 DM,1 <= ... < 4 years,3,male : single,none,2,real estate,39,none,rent,2,unskilled - resident,2,No,No
4,Yes,... < 0 DM,12,critical account/ other credits existing (not at this bank),car (new),2171,< 100 DM,1 <= ... < 4 years,4,male : single,none,4,building society savings agreement/ life insurance,38,bank,own,2,unskilled - resident,1,No,No
5,Yes,... < 0 DM,10,critical account/ other credits existing (not at this bank),car (new),2241,< 100 DM,< 1 year,1,male : single,none,3,real estate,48,none,rent,2,unskilled - resident,2,No,No
6,Yes,... < 0 DM,8,critical account/ other credits existing (not at this bank),car (new),3398,< 100 DM,4 <= ... < 7 years,1,male : single,none,4,real estate,39,none,own,2,unskilled - resident,1,No,No
7,Yes,... < 0 DM,6,critical account/ other credits existing (not at this bank),car (new),1361,< 100 DM,< 1 year,2,male : single,none,4,real estate,40,none,own,1,unskilled - resident,2,No,No
8,Yes,no checking account,18,critical account/ other credits existing (not at this bank),radio/television,1098,< 100 DM,unemployed,4,female : divorced/separated/married,none,4,car or other,65,none,own,2,unemployed/ unskilled - non-resident,1,No,Yes
9,Yes,0 <= ... < 200 DM,24,existing credits paid back duly till now,radio/television,3758,500 <= ... < 1000 DM,unemployed,1,female : divorced/separated/married,none,4,unknown / no property,23,none,rent,1,unemployed/ unskilled - non-resident,1,No,Yes
10,Yes,... < 0 DM,11,critical account/ other credits existing (not at this bank),car (new),3905,< 100 DM,1 <= ... < 4 years,2,male : single,none,2,real estate,36,none,rent,2,skilled employee / official,2,No,Yes
11,Yes,... < 0 DM,30,critical account/ other credits existing (not at this bank),car (used),6187,100 <= ... < 500 DM,4 <= ... < 7 years,1,male : married/widowed,none,4,car or other,24,none,rent,2,skilled employee / official,1,No,Yes
12,Yes,... < 0 DM,6,critical account/ other credits existing (not at this bank),radio/television,1957,< 100 DM,4 <= ... < 7 years,1,female : divorced/separated/married,none,4,car or other,31,none,own,1,skilled employee / official,1,No,Yes
13,Yes,0 <= ... < 200 DM,48,delay in paying off in the past,others,7582,100 <= ... < 500 DM,unemployed,2,male : single,none,4,unknown / no property,31,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
14,Yes,... < 0 DM,18,existing credits paid back duly till now,radio/television,1936,unknown/ no savings account,4 <= ... < 7 years,2,male : married/widowed,none,4,car or other,23,none,rent,2,unskilled - resident,1,No,Yes
15,Yes,... < 0 DM,6,existing credits paid back duly till now,radio/television,2647,500 <= ... < 1000 DM,1 <= ... < 4 years,2,male : single,none,3,real estate,44,none,rent,1,skilled employee / official,2,No,Yes
16,Yes,... < 0 DM,11,critical account/ other credits existing (not at this bank),car (new),3939,< 100 DM,1 <= ... < 4 years,1,male : single,none,2,real estate,40,none,own,2,unskilled - resident,2,No,Yes
17,Yes,0 <= ... < 200 DM,18,existing credits paid back duly till now,radio/television,3213,500 <= ... < 1000 DM,< 1 year,1,male : married/widowed,none,3,real estate,25,none,rent,1,skilled employee / official,1,No,Yes
18,Yes,0 <= ... < 200 DM,36,critical account/ other credits existing (not at this bank),radio/television,2337,< 100 DM,>= 7 years,4,male : single,none,4,real estate,36,none,own,1,skilled employee / official,1,No,Yes
19,Yes,no checking account,11,critical account/ other credits existing (not at this bank),car (new),7228,< 100 DM,1 <= ... < 4 years,1,male : single,none,4,building society savings agreement/ life insurance,39,none,own,2,unskilled - resident,1,No,Yes
20,Yes,... < 0 DM,6,critical account/ other credits existing (not at this bank),car (new),3676,< 100 DM,1 <= ... < 4 years,1,male : single,none,3,real estate,37,none,rent,3,skilled employee / official,2,No,Yes
21,Yes,0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (new),3124,< 100 DM,< 1 year,1,male : single,none,3,real estate,49,bank,own,2,unskilled - resident,2,No,Yes
22,No,0 <= ... < 200 DM,36,existing credits paid back duly till now,repairs,2384,< 100 DM,< 1 year,4,male : single,none,1,unknown / no property,33,none,rent,1,unskilled - resident,1,No,Yes
23,Yes,0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),domestic appliances,1424,< 100 DM,4 <= ... < 7 years,4,male : single,none,3,building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,1,No,Yes
24,Yes,... < 0 DM,6,critical account/ other credits existing (not at this bank),car (new),4716,unknown/ no savings account,< 1 year,1,male : single,none,3,real estate,44,none,own,2,unskilled - resident,2,No,Yes
25,Yes,0 <= ... < 200 DM,11,delay in paying off in the past,radio/television,4771,< 100 DM,4 <= ... < 7 years,2,male : single,none,4,building society savings agreement/ life insurance,51,none,own,1,skilled employee / official,1,No,Yes
26,Yes,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,652,< 100 DM,>= 7 years,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,24,none,rent,1,skilled employee / official,1,No,Yes
27,Yes,0 <= ... < 200 DM,9,critical account/ other credits existing (not at this bank),radio/television,1154,< 100 DM,>= 7 years,2,male : single,none,4,real estate,37,none,own,3,unskilled - resident,1,No,Yes
28,Yes,no checking account,15,existing credits paid back duly till now,car (new),3556,unknown/ no savings account,1 <= ... < 4 years,3,male : single,none,2,unknown / no property,29,none,own,1,skilled employee / official,1,No,Yes
29,Yes,... >= 200 DM / salary assignments for at least 1 year,42,critical account/ other credits existing (not at this bank),car (used),4796,< 100 DM,>= 7 years,4,male : single,none,4,unknown / no property,56,none,for free,1,skilled employee / official,1,No,Yes
30,Yes,... >= 200 DM / salary assignments for at least 1 year,30,critical account/ other credits existing (not at this bank),radio/television,3017,< 100 DM,>= 7 years,4,male : single,none,4,building society savings agreement/ life insurance,47,none,own,1,skilled employee / official,1,No,Yes
31,Yes,no checking account,36,critical account/ other credits existing (not at this bank),car (new),3535,< 100 DM,4 <= ... < 7 years,4,male : single,none,4,car or other,37,none,own,2,skilled employee / official,1,Yes,Yes
32,Yes,no checking account,36,critical account/ other credits existing (not at this bank),car (new),6614,< 100 DM,>= 7 years,4,male : single,none,4,car or other,34,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
33,Yes,no checking account,24,existing credits paid back duly till now,radio/television,1376,500 <= ... < 1000 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,1,car or other,28,none,own,1,skilled employee / official,1,No,Yes
