dataset,oversampling,fold,num_of_rules,tau,accuracy_train,fidelity_train,accuracy_test,fidelity_test
breast_cancer,0,0,50,1,1.0,1.0,0.958041958041958,0.965034965034965
breast_cancer,0,0,100,1,1.0,1.0,0.951048951048951,0.972027972027972
breast_cancer,0,0,200,1.5,1.0,1.0,0.972027972027972,0.9790209790209791
breast_cancer,0,0,400,1.75,1.0,1.0,0.972027972027972,0.9790209790209791
breast_cancer,0,0,800,2.0,1.0,1.0,0.958041958041958,0.965034965034965
breast_cancer,0,0,1600,2.5,1.0,1.0,0.972027972027972,0.9790209790209791
breast_cancer,0,1,50,1,1.0,1.0,0.8873239436619719,0.9366197183098591
breast_cancer,0,1,100,1,1.0,1.0,0.9014084507042254,0.9507042253521126
breast_cancer,0,1,200,1.5,1.0,1.0,0.9084507042253521,0.9577464788732394
breast_cancer,0,1,400,1.75,1.0,1.0,0.9295774647887324,0.9788732394366197
breast_cancer,0,1,800,2.0,1.0,1.0,0.9225352112676056,0.971830985915493
breast_cancer,0,1,1600,2.5,1.0,1.0,0.9014084507042254,0.9507042253521126
breast_cancer,0,2,50,1,1.0,1.0,0.9507042253521126,0.9647887323943662
breast_cancer,0,2,100,1,1.0,1.0,0.9577464788732394,0.971830985915493
breast_cancer,0,2,200,1.5,1.0,1.0,0.9788732394366197,0.9507042253521126
breast_cancer,0,2,400,1.75,1.0,1.0,0.9647887323943662,0.9507042253521126
breast_cancer,0,2,800,2.0,1.0,1.0,0.9577464788732394,0.971830985915493
breast_cancer,0,2,1600,2.5,1.0,1.0,0.9577464788732394,0.971830985915493
breast_cancer,0,3,50,1,1.0,1.0,0.9647887323943662,0.9859154929577465
breast_cancer,0,3,100,1,1.0,1.0,0.9647887323943662,0.9859154929577465
breast_cancer,0,3,200,1.5,1.0,1.0,0.9577464788732394,0.9788732394366197
breast_cancer,0,3,400,1.75,1.0,1.0,0.9647887323943662,0.9859154929577465
breast_cancer,0,3,800,2.0,1.0,1.0,0.971830985915493,0.9788732394366197
breast_cancer,0,3,1600,2.5,1.0,1.0,0.9436619718309859,0.9788732394366197
diabetes,0,0,50,1,0.9666666666666667,0.9666666666666667,0.9538461538461539,0.9615384615384616
diabetes,0,0,100,1,1.0,1.0,0.9846153846153847,0.9923076923076923
diabetes,0,0,200,1.5,1.0,1.0,0.9846153846153847,0.9923076923076923
diabetes,0,0,400,1.75,1.0,1.0,0.9769230769230769,0.9846153846153847
diabetes,0,0,800,2.0,1.0,1.0,0.9846153846153847,0.9923076923076923
diabetes,0,0,1600,2.5,1.0,1.0,0.9846153846153847,0.9923076923076923
diabetes,0,1,50,1,0.9853556485355649,0.9853556485355649,0.9461538461538461,0.9538461538461539
diabetes,0,1,100,1,1.0,1.0,0.9692307692307692,0.9923076923076923
diabetes,0,1,200,1.5,1.0,1.0,0.9615384615384616,0.9846153846153847
diabetes,0,1,400,1.75,1.0,1.0,0.9692307692307692,0.9923076923076923
diabetes,0,1,800,2.0,1.0,1.0,0.9692307692307692,0.9923076923076923
diabetes,0,1,1600,2.5,1.0,1.0,0.9692307692307692,0.9923076923076923
diabetes,0,2,50,1,0.98068669527897,0.98068669527897,0.9307692307692308,0.9615384615384616
diabetes,0,2,100,1,1.0,1.0,0.9846153846153847,0.9846153846153847
diabetes,0,2,200,1.5,1.0,1.0,0.9692307692307692,1.0
diabetes,0,2,400,1.75,1.0,1.0,0.9692307692307692,1.0
diabetes,0,2,800,2.0,1.0,1.0,0.9615384615384616,0.9923076923076923
diabetes,0,2,1600,2.5,1.0,1.0,0.9615384615384616,0.9923076923076923
diabetes,0,3,50,1,0.9717741935483871,0.9717741935483871,0.9615384615384616,0.9769230769230769
diabetes,0,3,100,1,1.0,1.0,0.9846153846153847,1.0
diabetes,0,3,200,1.5,1.0,1.0,0.9846153846153847,0.9846153846153847
diabetes,0,3,400,1.75,1.0,1.0,0.9769230769230769,0.9923076923076923
diabetes,0,3,800,2.0,1.0,1.0,0.9769230769230769,0.9923076923076923
diabetes,0,3,1600,2.5,1.0,1.0,0.9846153846153847,1.0
wine,0,0,50,1,0.9568593615185504,0.9590163934426229,0.8625,0.89
wine,0,0,100,1,0.9840379637618637,0.9857635893011216,0.9075,0.94
wine,0,0,200,1.5,0.9935289042277826,0.9943917169974116,0.9175,0.975
wine,0,0,400,1.75,1.0,1.0,0.9125,0.965
wine,0,0,800,2.0,1.0,1.0,0.9075,0.965
wine,0,0,1600,2.5,1.0,1.0,0.9325,0.985
wine,0,1,50,1,0.9487847222222222,0.9500868055555556,0.8425,0.885
wine,0,1,100,1,0.9865451388888888,0.9887152777777778,0.9025,0.95
wine,0,1,200,1.5,0.9978298611111112,0.9982638888888888,0.9225,0.97
wine,0,1,400,1.75,0.9991319444444444,1.0,0.9275,0.985
wine,0,1,800,2.0,0.9991319444444444,1.0,0.9375,0.975
wine,0,1,1600,2.5,0.9991319444444444,1.0,0.935,0.9825
wine,0,2,50,1,0.9454148471615721,0.9475982532751092,0.875,0.9225
