dataset,oversampling,round,fold,num_of_rules,accuracy_train,fidelity_train,accuracy_test,fidelity_test,real_num
abalone,1,0,0,10,0.6719808688720605,0.6859306496612196,0.47464114832535886,0.5358851674641149,65
abalone,1,0,0,25,0.6578318055001993,0.6677959346353128,0.4813397129186603,0.5483253588516747,78
abalone,1,0,0,50,0.6237544838581108,0.6388999601434835,0.39712918660287083,0.4430622009569378,89
abalone,1,0,0,100,0.7196094061379036,0.7343563172578716,0.554066985645933,0.6267942583732058,99
abalone,1,0,0,200,0.7160223196492627,0.7331606217616581,0.5349282296650718,0.6,136
abalone,1,0,0,400,0.749302510960542,0.7656436827421284,0.6,0.6669856459330143,163
abalone,1,0,1,10,0.6829608938547486,0.701316839584996,0.47509578544061304,0.5354406130268199,69
abalone,1,0,1,25,0.680367118914605,0.6955307262569832,0.47509578544061304,0.5316091954022989,81
abalone,1,0,1,50,0.8174381484437351,0.8353950518754988,0.7011494252873564,0.7634099616858238,91
abalone,1,0,1,100,0.7553870710295292,0.7701516360734237,0.5909961685823755,0.6609195402298851,113
abalone,1,0,1,200,0.7611731843575419,0.7763367916999202,0.617816091954023,0.6685823754789272,146
abalone,1,0,1,400,0.807462090981644,0.823024740622506,0.6628352490421456,0.7059386973180076,166
abalone,1,0,2,10,0.6849177697553149,0.6987565182511031,0.48563218390804597,0.5325670498084292,58
abalone,1,0,2,25,0.6975531488166867,0.7141997593261131,0.48946360153256707,0.5440613026819924,72
abalone,1,0,2,50,0.7374649017248295,0.7525070196550341,0.5363984674329502,0.592911877394636,86
abalone,1,0,2,100,0.7055756117127958,0.723826714801444,0.5047892720306514,0.5555555555555556,98
abalone,1,0,2,200,0.8084636983553951,0.8267148014440433,0.6551724137931034,0.7155172413793104,133
abalone,1,0,2,400,0.7922182109907742,0.8160850381066987,0.6542145593869731,0.7298850574712644,160
abalone,1,0,3,10,0.6426576217079011,0.6588188347964884,0.4128352490421456,0.46360153256704983,68
abalone,1,0,3,25,0.6608140462889066,0.6757781324820431,0.4760536398467433,0.5172413793103449,80
abalone,1,0,3,50,0.6197126895450917,0.6370710295291301,0.367816091954023,0.43582375478927204,92
abalone,1,0,3,100,0.7144852354349561,0.7306464485235435,0.524904214559387,0.564176245210728,116
abalone,1,0,3,200,0.804269752593775,0.8220271348762969,0.6800766283524904,0.7346743295019157,147
abalone,1,0,3,400,0.7761372705506784,0.7918994413407822,0.6455938697318008,0.7059386973180076,105
bankruptcy,1,0,0,10,0.5243779081529436,0.5183087194011734,0.9536656891495601,0.9325513196480938,67
bankruptcy,1,0,0,25,0.5266032773619259,0.5203317823184301,0.9612903225806452,0.9413489736070382,89
bankruptcy,1,0,0,50,0.5253894396115719,0.519117944568076,0.9683284457478006,0.9519061583577713,94
bankruptcy,1,0,0,100,0.5712118146874368,0.5655472385191179,0.9618768328445748,0.9478005865102639,118
bankruptcy,1,0,0,200,0.6098523164070403,0.6045923528221727,0.9483870967741935,0.9378299120234604,146
bankruptcy,1,0,0,400,0.8647582439813878,0.8661743880234676,0.8384164222873901,0.6536656891495601,176
bankruptcy,1,0,1,10,0.5163702506063056,0.5106103476151981,0.9530791788856305,0.9196480938416423,64
bankruptcy,1,0,1,25,0.5523443815683104,0.5471907841552143,0.9548387096774194,0.9272727272727272,77
bankruptcy,1,0,1,50,0.6049919159256265,0.6000404203718674,0.9519061583577713,0.9255131964809384,103
bankruptcy,1,0,1,100,0.5720493128536782,0.5664915117219078,0.9495601173020528,0.9219941348973607,116
bankruptcy,1,0,1,200,0.6925020210185934,0.6917946645109135,0.9489736070381232,0.9390029325513196,137
bankruptcy,1,0,1,400,0.684215844785772,0.6814874696847211,0.930791788856305,0.9149560117302052,176
bankruptcy,1,0,2,10,0.5612616255560049,0.5549939344925192,0.9624633431085043,0.9378299120234604,71
bankruptcy,1,0,2,25,0.6561868176304084,0.6531540638900122,0.9671554252199414,0.9495601173020528,81
bankruptcy,1,0,2,50,0.6297007682976142,0.6278811160533765,0.9495601173020528,0.9378299120234604,81
bankruptcy,1,0,2,100,0.5539830165790538,0.547513141932875,0.9618768328445748,0.9348973607038124,105
