dataset,oversampling,fold,num_of_rules,tau,accuracy_train,fidelity_train,accuracy_test,fidelity_test
breast_cancer,0,0,50,1,0.9763636363636363,0.9763636363636363,0.9440559440559441,0.951048951048951
breast_cancer,0,0,100,1,0.9818181818181818,0.9818181818181818,0.9440559440559441,0.965034965034965
breast_cancer,0,0,200,1.5,0.9763636363636363,0.9763636363636363,0.9370629370629371,0.958041958041958
breast_cancer,0,0,400,1.75,0.9890909090909091,0.9890909090909091,0.965034965034965,0.986013986013986
breast_cancer,0,0,800,2.0,1.0,1.0,0.972027972027972,0.993006993006993
breast_cancer,0,0,1600,2.5,1.0,1.0,0.972027972027972,0.993006993006993
breast_cancer,0,0,50,1,1.0,1.0,0.951048951048951,0.9440559440559441
breast_cancer,0,0,100,1,1.0,1.0,0.951048951048951,0.9440559440559441
breast_cancer,0,0,200,1.5,1.0,1.0,0.951048951048951,0.9440559440559441
abalone,0,0,50,1,0.6454762853726584,0.6666002391390993,0.42392344497607654,0.4813397129186603
abalone,0,0,100,1,0.5544041450777202,0.5767237943403747,0.276555023923445,0.31100478468899523
abalone,0,0,200,1.5,0.5649661219609406,0.5910721402949383,0.3033492822966507,0.34545454545454546
abalone,0,0,400,1.75,0.6076125946592268,0.6410920685532084,0.3712918660287081,0.40956937799043064
abalone,0,0,800,2.0,0.6933041052212037,0.7317656436827421,0.4851674641148325,0.5330143540669856
abalone,0,0,1600,2.5,0.9575528098844162,0.9972100438421682,0.8909090909090909,0.9559808612440192
abalone,0,1,50,1,0.6187150837988827,0.638268156424581,0.35153256704980845,0.4042145593869732
abalone,0,1,100,1,0.5504788507581804,0.5726256983240223,0.2614942528735632,0.30268199233716475
abalone,0,1,200,1.5,0.5514764565043895,0.5784118116520351,0.28735632183908044,0.33620689655172414
abalone,0,1,400,1.75,0.609537110933759,0.6488427773343974,0.3735632183908046,0.41475095785440613
wine,0,0,50,1,0.8312597200622084,0.8304821150855366,0.7275,0.8625
wine,0,0,100,1,0.9027993779160186,0.9043545878693624,0.7425,0.8775
wine,0,0,200,1.5,0.9486780715396579,0.9463452566096423,0.7625,0.9075
wine,0,0,400,1.75,0.9836702954898912,0.9836702954898912,0.78,0.92
wine,0,0,800,2.0,1.0,1.0,0.7825,0.9225
wine,0,0,1600,2.5,1.0,1.0,0.775,0.92
wine,0,1,50,1,0.83203125,0.83203125,0.745,0.8725
wine,0,1,100,1,0.9046875,0.90625,0.75,0.8925
wine,0,1,200,1.5,0.9421875,0.94375,0.805,0.9225
wine,0,1,400,1.75,0.9765625,0.97734375,0.795,0.9225
wine,0,1,800,2.0,1.0,1.0,0.8,0.9375
wine,0,1,1600,2.5,1.0,1.0,0.805,0.9225
wine,0,2,50,1,0.8167456556082149,0.8175355450236966,0.7875,0.8875
wine,0,2,100,1,0.8862559241706162,0.8878357030015798,0.785,0.91
wine,0,2,200,1.5,0.9281200631911533,0.9273301737756714,0.7825,0.9325
wine,0,2,400,1.75,0.9770932069510269,0.9770932069510269,0.7875,0.9425
wine,0,2,800,2.0,1.0,1.0,0.8075,0.9175
wine,0,2,1600,2.5,1.0,1.0,0.785,0.92
wine,0,3,50,1,0.8343605546995377,0.8351309707241911,0.7619047619047619,0.8671679197994987
wine,0,3,100,1,0.884437596302003,0.8852080123266564,0.7694235588972431,0.9097744360902256
wine,0,3,200,1.5,0.9337442218798151,0.9345146379044684,0.7719298245614035,0.9323308270676691
wine,0,3,400,1.75,0.977657935285054,0.9784283513097073,0.7744360902255639,0.924812030075188
wine,0,3,800,2.0,0.9992295839753467,1.0,0.7894736842105263,0.924812030075188
wine,0,3,1600,2.5,0.9992295839753467,1.0,0.7869674185463659,0.9172932330827067
wine,1,0,50,1,0.7877138413685848,0.8751944012441679,0.71,0.82
wine,1,0,100,1,0.8328149300155521,0.9288491446345256,0.735,0.865
wine,1,0,200,1.5,0.8499222395023328,0.9416796267496111,0.755,0.885
wine,1,0,400,1.75,0.8608087091757387,0.9611197511664075,0.7625,0.8975
wine,1,0,800,2.0,0.8950233281493002,0.9840590979782271,0.7475,0.9075
wine,1,0,1600,2.5,0.9307931570762052,0.9980559875583204,0.7575,0.9175
wine,1,1,50,1,0.78828125,0.880078125,0.7525,0.86
wine,1,1,100,1,0.83125,0.931640625,0.745,0.8875
wine,1,1,200,1.5,0.8453125,0.942578125,0.755,0.9025
wine,1,1,400,1.75,0.8765625,0.9625,0.775,0.9125
wine,1,1,800,2.0,0.90390625,0.985546875,0.7825,0.935
wine,1,1,1600,2.5,0.9234375,0.998828125,0.7925,0.935
wine,1,2,50,1,0.7914691943127962,0.8688783570300158,0.7575,0.8725
wine,1,2,100,1,0.8199052132701422,0.9115323854660348,0.79,0.89
wine,1,2,200,1.5,0.8483412322274881,0.9289099526066351,0.7875,0.9125
wine,1,2,400,1.75,0.8807266982622433,0.9609004739336493,0.7925,0.9275
wine,1,2,800,2.0,0.906003159557662,0.9845971563981043,0.8,0.93
wine,1,2,1600,2.5,0.9257503949447078,0.9976303317535545,0.7925,0.9475
wine,1,3,50,1,0.7742681047765794,0.8628659476117103,0.7293233082706767,0.8245614035087719
wine,1,3,100,1,0.8297380585516179,0.9144838212634823,0.7669172932330827,0.8872180451127819
wine,1,3,200,1.5,0.8366718027734977,0.9287365177195686,0.7619047619047619,0.8972431077694235
wine,1,3,400,1.75,0.8859784283513097,0.9572419106317411,0.7719298245614035,0.9273182957393483
wine,1,3,800,2.0,0.9206471494607088,0.985362095531587,0.7694235588972431,0.9348370927318296
wine,1,3,1600,2.5,0.9453004622496148,0.9984591679506933,0.7844611528822055,0.9598997493734336
