dataset,oversampling,round,fold,num_of_rules,accuracy_train,fidelity_train,accuracy_test,fidelity_test,real_num
breast_cancer,4,0,0,25,0.9672727272727273,0.9672727272727273,0.9230769230769231,0.9440559440559441,13
breast_cancer,4,0,0,50,0.9763636363636363,0.9763636363636363,0.9370629370629371,0.958041958041958,12
breast_cancer,4,0,0,100,0.9836363636363636,0.9836363636363636,0.9230769230769231,0.9440559440559441,26
breast_cancer,4,0,0,200,0.9654545454545455,0.9654545454545455,0.916083916083916,0.9370629370629371,12
breast_cancer,4,0,1,25,0.9664179104477612,0.9664179104477612,0.9225352112676056,0.9436619718309859,12
breast_cancer,4,0,1,50,0.9757462686567164,0.9757462686567164,0.9647887323943662,0.9577464788732394,15
breast_cancer,4,0,1,100,0.9776119402985075,0.9776119402985075,0.9014084507042254,0.9507042253521126,28
breast_cancer,4,0,1,200,0.9776119402985075,0.9776119402985075,0.9295774647887324,0.9507042253521126,18
breast_cancer,4,0,2,25,0.9296577946768061,0.9296577946768061,0.8873239436619719,0.9014084507042254,13
breast_cancer,4,0,2,50,0.9847908745247148,0.9847908745247148,0.9366197183098591,0.9647887323943662,21
breast_cancer,4,0,2,100,0.9790874524714829,0.9790874524714829,0.9084507042253521,0.9507042253521126,32
breast_cancer,4,0,2,200,0.967680608365019,0.967680608365019,0.9084507042253521,0.8943661971830986,24
breast_cancer,4,0,3,25,0.9433962264150944,0.9433962264150944,0.8943661971830986,0.8873239436619719,12
breast_cancer,4,0,3,50,0.9641509433962264,0.9641509433962264,0.9436619718309859,0.9507042253521126,18
breast_cancer,4,0,3,100,0.9773584905660377,0.9773584905660377,0.9295774647887324,0.9507042253521126,29
breast_cancer,4,0,3,200,0.9622641509433962,0.9622641509433962,0.8873239436619719,0.8802816901408451,14
diabetes,4,0,0,25,0.6708333333333333,0.6708333333333333,0.7230769230769231,0.7307692307692307,19
diabetes,4,0,0,50,0.8395833333333333,0.8395833333333333,0.7692307692307693,0.7923076923076923,21
