
cancer,rf

One Class SVM, 2927 / 5856, 1701.1659,2126.0403,2486.3203,2541.9949,2561.6759,2575.0802,2580.3884,2588.8627,2589.9389,2598.8776,2599.5819

Local Outlier Factor, 2235 / 5856, 0.9419,1.0000,1.0198,1.0786,1.1690,1.2887,1.4545,1.7683,2545997287.9302,7289949494.6412,34719137138.6315

Isolation forest, 901 / 5856, -0.7063,-0.5568,-0.4160,-0.3606,-0.3382,-0.3270,-0.3208,-0.3159,-0.3115,-0.3079,-0.3041

german,rf

One Class SVM, 4416 / 8837, 3713.2046,4159.5219,4181.6735,4193.3014,4204.4195,4212.1156,4219.6639,4227.2797,4234.8783,4242.6137,4258.3856

Local Outlier Factor, 125 / 8837, 0.9679,1.0015,1.0196,1.0385,1.0595,1.0843,1.1125,1.1458,1.1876,1.2576,1.8940

Isolation forest, 16 / 8837, -0.5813,-0.3576,-0.3460,-0.3390,-0.3339,-0.3298,-0.3261,-0.3224,-0.3187,-0.3143,-0.3003

wine,rf

One Class SVM, 12086 / 24178, 9917.5436,11716.4517,11815.6281,11859.1745,11875.8733,11881.7184,11892.5656,11892.8663,11898.3662,11903.8561,11909.5234

Local Outlier Factor, 5891 / 24178, 0.9292,0.9990,1.0278,1.0703,1.1270,1.1978,1.2882,1.4114,1.5804,1.8654,26922792207.3008

Isolation forest, 223 / 24178, -0.6558,-0.3293,-0.3120,-0.3059,-0.3028,-0.3007,-0.2991,-0.2972,-0.2962,-0.2938,-0.2938

bankrupt,rf

One Class SVM, 21550 / 42980, 16132.3877,21233.5979,21307.7224,21326.8546,21335.3533,21339.6073,21343.8409,21345.9654,21348.0942,21348.1062,21348.1127

Local Outlier Factor, 26901 / 42980, 0.8979,1.0017,1.0966,1.3017,1.5808,1.9678,2.6129,5.6231,1075196943.7532,3170205232.4663,68307608680.5020

Isolation forest, 272 / 42980, -0.7373,-0.3071,-0.2984,-0.2957,-0.2947,-0.2927,-0.2927,-0.2927,-0.2927,-0.2927,-0.2927

cancer,lgbm

One Class SVM, 968 / 1934, 610.3586,750.3957,802.1851,814.5255,821.6400,824.8322,827.5184,833.6883,841.1139,848.1096,855.0719

Local Outlier Factor, 562 / 1934, 0.9776,0.9985,1.0150,1.0629,1.1236,1.2289,1.3475,1.4753,1.6866,2.0156,3.5604

Isolation forest, 236 / 1934, -0.6666,-0.5328,-0.4296,-0.4020,-0.3860,-0.3752,-0.3654,-0.3531,-0.3386,-0.3241,-0.3106

wine,lgbm

One Class SVM, 785 / 1569, 530.0612,598.0052,604.9100,610.0672,615.0697,619.8245,623.0763,626.3652,629.3168,633.4679,653.9464

Local Outlier Factor, 1 / 1569, 0.9758,0.9968,1.0018,1.0111,1.0238,1.0360,1.0486,1.0624,1.0786,1.1078,1.5357

Isolation forest, 70 / 1569, -0.6094,-0.4864,-0.4710,-0.4595,-0.4491,-0.4387,-0.4306,-0.4225,-0.4144,-0.4041,-0.3615

bankrupt,lgbm

One Class SVM, 2384 / 4767, 1255.8396,1872.6894,1952.7831,1998.0343,2016.6494,2030.0482,2040.7369,2051.0669,2061.4587,2073.3288,2114.5677

Local Outlier Factor, 2841 / 4767, 0.9890,1.2026,1.3264,1.4093,1.4967,1.5709,1.6469,1.7323,1.8344,1.9844,2.9919

Isolation forest, 445 / 4767, -0.7629,-0.4956,-0.4356,-0.4035,-0.3872,-0.3762,-0.3673,-0.3590,-0.3517,-0.3420,-0.3145

german,lgbm

One Class SVM, 1552 / 3098, 1238.8966,1416.6495,1436.4039,1442.0143,1445.6717,1449.5372,1452.1734,1454.4615,1456.2210,1457.5474,1470.7759

Local Outlier Factor, 64 / 3098, 0.9775,0.9954,0.9999,1.0017,1.0079,1.0163,1.0311,1.0559,1.0942,1.1850,51961524228.0663

Isolation forest, 46 / 3098, -0.6064,-0.3836,-0.3605,-0.3522,-0.3459,-0.3419,-0.3384,-0.3352,-0.3308,-0.3267,-0.3108
