
cancer,rf, [0.9477,31418068810.4916],
0.9477,1.0000,1.0220,1.0945,1.1967,1.3163,1.4955,1.9322,3092513593.0028,7508175114.5932,10852189578.6813,13856406461.6315,16347659848.9062

german,rf, [0.9679,1.8940],
0.9679,1.0015,1.0196,1.0385,1.0595,1.0843,1.1125,1.1458,1.1876,1.2576,1.3253,1.4521,1.5427

wine,rf, [0.9153,22360679775.9979],
0.9153,0.9986,1.0241,1.0676,1.1234,1.1961,1.2858,1.4016,1.5762,1.8759,2.1509,2.5598,2.9485

bankrupt,rf, [0.8979,68307608680.5020],
0.8979,1.0017,1.0966,1.3017,1.5808,1.9678,2.6129,5.6231,1075196943.7532,3170205232.4663,7157003541.8309,10934059351.4924,14079179855.8258

cancer,lgbm, [0.9776,3.5604],
0.9776,0.9985,1.0150,1.0629,1.1236,1.2289,1.3475,1.4753,1.6866,2.0156,2.2380,2.5626,2.6890

wine,lgbm, [0.9758,1.5357],
0.9758,0.9968,1.0018,1.0111,1.0238,1.0360,1.0486,1.0624,1.0786,1.1078,1.1333,1.1665,1.1914

bankrupt,lgbm, [0.9890,2.9919],
0.9890,1.2026,1.3264,1.4093,1.4967,1.5709,1.6469,1.7323,1.8344,1.9844,2.1149,2.2844,2.3768

german,lgbm, [0.9775,51961524228.0663],
0.9775,0.9954,0.9999,1.0017,1.0079,1.0163,1.0311,1.0559,1.0942,1.1850,1.2926,1.5088,16974216775.2489

-----------------------------------------------------------------------------------------

cancer,rf, [0.9673,326719872.3380],
german,rf, [0.9797,3.9554],
wine,rf, [0.9570,3025153458.4025],
bankrupt,rf, [0.9623,2474720685.3141],


cancer,rf, [0.9673,326719872.3380],
0.9673,1.0000,1.0284,1.0863,1.1608,1.2617,1.3905,1.5586,1.8864,2.8530,4.8694,7.9951,10.3790

german,rf, [0.9797,3.9554],
0.9797,1.1920,1.3072,1.3982,1.4999,1.6100,1.7291,1.8683,2.0334,2.2744,2.4789,2.7237,2.8850

wine,rf, [0.9570,3025153458.4025],
0.9570,1.0491,1.1459,1.2846,1.4732,1.7278,2.0708,2.5238,3.1837,4.3615,5.4335,6.7002,7.6406

bankrupt,rf, [0.9623,2474720685.3141],
0.9623,1.0533,1.2864,1.6188,2.0951,2.8182,3.8840,5.5689,8.8952,16.0473,21.2545,27.8387,66881283.8900

cancer,lgbm, [0.9749,8.8854],
0.9749,1.0121,1.0695,1.1734,1.2732,1.4476,1.6392,1.9601,2.3433,3.0809,3.7994,4.9681,5.9120

wine,lgbm, [0.9589,1.9799],
