lambda 0.15
cancer,rf,1.0000,7.4464,25.9605
80,0.9650,0.9441,2.2837,0.1154

german,rf,1.0000,2.7261,3.9554
80,0.8920,0.7840,1.0000,0.0000

wine,rf,1.0000,6.6144,2886751346.9481
80,0.9425,0.8375,62440068.9742,0.1625

bankrupt,rf,1.0000,27.8444,2474720685.3141
80,0.9449,0.9619,77737902.9795,0.8625

cancer,lgbm,1.0000,5.1125,8.8854
80,0.8462,0.8601,1.0000,0.0000

wine,lgbm,1.0000,1.4253,1.9799
80,0.8750,0.8250,1.0000,0.0000

bankrupt,lgbm,1.0000,4.1016,7.2079
80,0.9273,0.9138,1.1069,0.0250

german,lgbm,1.0000,3.9989,2345717875.0201
80,0.6200,0.5640,942416860.8611,0.7895
